date,btc_close,mstr_close,btc_nav_total,btc_nav_per_share,mnav,premium_to_nav,premium_to_nav_pct,mnav_30d_ma,premium_30d_ma
2024-07-18,63974.066406,155.516006,33790142264.785156,137.358302,1.132192,0.132192,13.219226,1.081624,0.081624
2024-07-19,66710.15625,177.850006,35235303878.90625,143.232943,1.241684,0.241684,24.168367,1.086,0.086
2024-07-22,67585.25,180.009003,35697515271.25,145.111851,1.240485,0.240485,24.048451,1.091002,0.091002
2024-07-23,65927.671875,172.177002,34822007369.296875,141.552875,1.216344,0.216344,21.634408,1.09581,0.09581
2024-07-24,65372.132812,167.268997,34528579969.57031,140.360081,1.191713,0.191713,19.171345,1.099801,0.099801
2024-07-25,65777.226562,160.647003,34742544411.91406,141.229855,1.137486,0.137486,13.748614,1.101852,0.101852
2024-07-26,67912.0625,175.270996,35870132731.5625,145.813548,1.202021,0.202021,20.202134,1.105436,0.105436
2024-07-29,66819.914062,168.485001,35293276309.10156,143.468603,1.174368,0.174368,17.436845,1.110072,0.110072
2024-07-30,66201.015625,160.406998,34966383437.890625,142.13977,1.128516,0.128516,12.851595,1.112517,0.112517
2024-07-31,64619.25,161.444,34130918561.25,138.743571,1.163614,0.163614,16.361428,1.116111,0.116111
2024-08-01,65357.5,151.181,34520851137.5,140.328663,1.077335,0.077335,7.733514,1.117001,0.117001
2024-08-02,61415.066406,144.798996,32438516849.785156,131.86389,1.098094,0.098094,9.809438,1.118512,0.118512
2024-08-05,53991.457031,130.899994,28517477732.05078,115.924706,1.129181,0.129181,12.918116,1.120212,0.120212
2024-08-06,56034.316406,136.921005,29596485411.035156,120.310916,1.13806,0.13806,13.80597,1.122807,0.122807
2024-08-07,55027.460938,124.684998,29064679455.273438,118.149103,1.055319,0.055319,5.531903,1.120413,0.120413
2024-08-08,61710.136719,135.990005,32594368562.79297,132.497433,1.02636,0.02636,2.635955,1.117409,0.117409
2024-08-09,60880.113281,135.369995,32155962633.45703,130.715295,1.035609,0.035609,3.560945,1.113488,0.113488
2024-08-12,59354.515625,131.460007,31350164835.390625,127.439694,1.031547,0.031547,3.154678,1.11242,0.11242
2024-08-13,60609.566406,135.380005,32013063832.285156,130.134406,1.040309,0.040309,4.030909,1.113357,0.113357
2024-08-14,58737.269531,130.369995,31024144707.36328,126.114409,1.033744,0.033744,3.374385,1.114773,0.114773
2024-08-15,57560.097656,131.929993,30402380180.566406,123.586911,1.067508,0.067508,6.750781,1.116763,0.116763
2024-08-16,58894.105469,133.039993,31106983097.01172,126.451151,1.052106,0.052106,5.210583,1.116715,0.116715
2024-08-19,59493.453125,135.350006,31423549538.828125,127.738006,1.059591,0.059591,5.959072,1.116701,0.116701
2024-08-20,59012.792969,133.690002,31169672054.19922,126.705984,1.05512,0.05512,5.511988,1.117033,0.117033
2024-08-21,61175.191406,141.419998,32311818472.910156,131.348856,1.076675,0.076675,7.667476,1.117816,0.117816
2024-08-22,60381.914062,133.809998,31892821279.101562,129.645615,1.032121,0.032121,3.212128,1.11544,0.11544
2024-08-23,64094.355469,150.009995,33853677143.26172,137.616574,1.090058,0.090058,9.005762,1.114323,0.114323
2024-08-26,62880.660156,146.899994,33212621484.628906,135.010656,1.088062,0.088062,8.806222,1.11203,0.11203
2024-08-27,59504.132812,140.009995,31429190389.570312,127.760937,1.095875,0.095875,9.587483,1.108868,0.108868
2024-08-28,59027.625,132.089996,31177506110.625,126.73783,1.04223,0.04223,4.223022,1.105111,0.105111
2024-08-29,59388.179688,132.559998,31367945688.242188,127.511974,1.039589,0.039589,3.958862,1.102024,0.102024
2024-08-30,59119.476562,132.419998,31226020728.164062,126.935044,1.043211,0.043211,4.321072,1.095408,0.095408
2024-09-03,57431.023438,122.32,30334205114.335938,123.309777,0.991973,-0.008027,-0.802675,1.087125,0.087125
2024-09-04,57971.539062,124.849998,30619697359.726562,124.470314,1.00305,0.00305,0.30504,1.080015,0.080015
2024-09-05,56160.488281,119.57,29663127502.83203,120.581819,0.991609,-0.008391,-0.839114,1.073345,0.073345
2024-09-06,53948.753906,114.300003,28494922581.972656,115.833019,0.986765,-0.013235,-1.32347,1.068321,0.068321
2024-09-09,57019.535156,124.82,30116863176.503906,122.426273,1.019552,0.019552,1.955239,1.062238,0.062238
2024-09-10,57648.710938,129.639999,30449184386.523438,123.777172,1.047366,0.047366,4.736598,1.058005,0.058005
2024-09-11,57343.171875,129.279999,30287803236.796875,123.121151,1.050023,0.050023,5.002266,1.055389,0.055389
2024-09-12,58127.011719,130.770004,30701815684.66797,124.804129,1.047802,0.047802,4.780191,1.051528,0.051528
2024-09-13,60571.300781,141.470001,31992852503.14453,130.052246,1.087794,0.087794,8.77936,1.051877,0.051877
2024-09-16,58192.507812,134.529999,30736409738.945312,124.944755,1.076716,0.076716,7.671586,1.051164,0.051164
2024-09-17,60308.539062,131.270004,31854065704.726562,129.488072,1.013761,0.013761,1.376136,1.047317,0.047317
2024-09-18,61649.679688,132.669998,32562436065.742188,132.367626,1.002284,0.002284,0.228433,1.042791,0.042791
2024-09-19,62940.457031,144.660004,33244205297.05078,135.139046,1.070453,0.070453,7.045305,1.043295,0.043295
2024-09-20,63192.976562,144.779999,33377582325.664062,135.681229,1.06706,0.06706,6.70599,1.044652,0.044652
2024-09-23,63329.800781,149.970001,33449850825.64453,135.975003,1.102923,0.102923,10.292331,1.046896,0.046896
2024-09-24,64301.96875,153.880005,33963335364.218754,138.062339,1.114569,0.114569,11.456901,1.049663,0.049663
2024-09-25,63143.144531,151.940002,33351261794.23828,135.574235,1.120714,0.120714,12.071444,1.052343,0.052343
2024-09-26,65181.019531,165.979996,34427636801.11328,139.949743,1.185997,0.185997,18.599714,1.057419,0.057419
2024-09-27,65790.664062,176.220001,34749641897.85156,141.258707,1.247498,0.247498,24.749833,1.063418,0.063418
2024-09-30,63329.5,168.600006,33449691957.5,135.974358,1.23994,0.23994,23.993971,1.069679,0.069679
2024-10-01,60837.007812,162.690002,32133194971.445312,130.622744,1.245495,0.245495,24.549522,1.075876,0.075876
2024-10-02,60632.785156,164.639999,32025327627.753906,130.184259,1.264669,0.264669,26.466902,1.082861,0.082861
2024-10-03,60759.402344,163.410004,32092204926.933594,130.456118,1.252605,0.252605,25.260514,1.088726,0.088726
2024-10-04,62067.476562,176.509995,32783110108.164062,133.264675,1.324507,0.324507,32.450699,1.098472,0.098472
2024-10-07,62236.660156,186.089996,32872470344.628906,133.627928,1.392598,0.392598,39.259808,1.108556,0.108556
2024-10-08,62131.96875,192.199997,32817173914.218754,133.403146,1.440746,0.440746,44.074561,1.120313,0.120313
2024-10-09,60582.101562,188.910004,31998557313.789062,130.075436,1.452311,0.452311,45.231113,1.132194,0.132194
